"blife_binomial","n_cells","st_area"
"Anthracothorax viridigula",26112,595392
"Anthracothorax viridis",420,8822
"Antrostomus arizonae",43427,1018878
"Antrostomus badius",6141,140239
"Antrostomus carolinensis",152061,3566399
"Antrostomus cubanensis",4964,109771
"Antrostomus ekmani",1129,18263
"Antrostomus noctitherus",410,7797
"Antrostomus ridgwayi",26980,633928
"Antrostomus rufus",309032,7488853
"Antrostomus salvini",4989,116138
"Antrostomus saturatus",339,5416
"Antrostomus sericocaudatus",49037,1173846
"Antrostomus vociferus",205042,4889515
"Apus acuticauda",1042,21100
"Apus affinis",918299,22265260
"Apus alexandri",196,2894
"Apus apus",1776019,43065792
"Apus balstoni",25050,595996
"Apus barbatus",51087,1206830
"Apus batesi",13002,305285
"Apus berliozi",9835,215188
"Apus bradfieldi",36838,886314
"Apus caffer",518678,12564416
"Apus horus",86879,2053767
"Apus niansae",16647,383480
"Apus nipalensis",246809,5798038
"Apus pacificus",1195158,28623811
"Apus pallidus",410560,9800786
"Apus sladeniae",1737,34327
"Apus unicolor",1045,16195
"Archilochus alexandri",158701,3851320
"Archilochus colubris",312898,7458413
"Augastes lumachella",1121,20814
"Augastes scutatus",1954,28810
"Avocettula recurvirostris",105669,2545364
"Batrachostomus auritus",39473,900156
"Batrachostomus cornutus",37389,865781
"Batrachostomus harterti",4175,86386
"Batrachostomus hodgsoni",5751,119989
"Batrachostomus javensis",60695,1422626
"Batrachostomus mixtus",7242,158805
"Batrachostomus moniliger",4865,110074
"Batrachostomus poliolophus",3359,64575
"Batrachostomus septimus",11721,253396
"Batrachostomus stellatus",34206,753643
"Boissonneaua flavescens",6058,129578
"Boissonneaua jardini",1481,31184
"Boissonneaua matthewsii",5918,128262
"Calliphlox amethystina",331431,8036104
"Calothorax lucifer",18186,430333
"Calothorax pulcher",2835,64795
"Calypte anna",55188,1272115
"Calypte costae",28158,647523
"Caprimulgus aegyptius",514105,12493471
"Caprimulgus affinis",228070,5340617
"Caprimulgus andamanicus",435,6778
"Caprimulgus asiaticus",168900,4063712
"Caprimulgus atripennis",21100,490543
"Caprimulgus batesi",77046,1871787
"Caprimulgus celebensis",2133,31972
"Caprimulgus clarus",57919,1373925
"Caprimulgus climacurus",361264,8793494
"Caprimulgus concretus",17526,396790
"Caprimulgus donaldsoni",31804,756550
"Caprimulgus europaeus",1222643,29447431
"Caprimulgus eximius",82730,1992902
"Caprimulgus fossii",270376,6531563
"Caprimulgus fraenatus",23235,546900
"Caprimulgus indicus",69152,1659014
"Caprimulgus inornatus",354726,8583101
"Caprimulgus jotaka",470540,11269309
"Caprimulgus longipennis",302704,7361609
"Caprimulgus macrurus",257036,6025332
"Caprimulgus madagascariensis",24935,594387
"Caprimulgus mahrattensis",87374,2113456
"Caprimulgus manillensis",12638,270686
"Caprimulgus meesi",1524,29685
"Caprimulgus natalensis",94020,2221976
"Caprimulgus nubicus",31342,717682
"Caprimulgus pectoralis",240385,5758816
"Caprimulgus phalaena",34,399
"Caprimulgus poliocephalus",34970,812134
"Caprimulgus prigoginei",115,2179
"Caprimulgus pulchellus",4020,71388
"Caprimulgus ruficollis",202669,4920926
"Caprimulgus rufigena",134273,3259320
"Caprimulgus solala",17,201
"Caprimulgus stellatus",5628,124487
"Caprimulgus tristigma",191864,4579453
"Caprimulgus vexillarius",274607,6666931
"Chaetocercus astreans",320,5524
"Chaetocercus berlepschi",288,5056
"Chaetocercus bombus",8277,176584
"Chaetocercus heliodor",5271,113959
"Chaetocercus jourdanii",2277,46745
"Chaetocercus mulsant",11934,265335
"Chaetura andrei",3746,81899
"Chaetura brachyura",309240,7516329
"Chaetura chapmani",195726,4732283
"Chaetura cinereiventris",253643,6140666
"Chaetura egregia",73060,1767627
"Chaetura fumosa",771,15557
"Chaetura martinica",288,4368
"Chaetura meridionalis",526084,12843325
"Chaetura pelagica",480705,11519253
"Chaetura spinicaudus",132008,3172108
"Chaetura vauxi",155555,3715884
"Chalcostigma herrani",3470,76471
"Chalcostigma heteropogon",1337,29223
"Chalcostigma olivaceum",3187,65608
"Chalcostigma ruficeps",5733,124254
"Chalcostigma stanleyi",5687,121165
"Chordeiles acutipennis",447744,10779557
"Chordeiles gundlachii",11974,229479
"Chordeiles minor",1182102,28594610
"Chordeiles nacunda",506745,12344041
"Chordeiles pusillus",205713,4999375
"Chordeiles rupestris",69615,1650439
"Chrysolampis mosquitus",307054,7444091
"Clytolaema rubricauda",15124,354453
"Coeligena albicaudata",2106,47324
"Coeligena bonapartei",960,17021
"Coeligena coeligena",17736,390111
"Coeligena conradii",1105,23609
"Coeligena consita",124,2376
"Coeligena dichroura",3052,66076
"Coeligena eisenmanni",510,10812
"Coeligena eos",679,14167
"Coeligena helianthea",1940,42389
"Coeligena inca",3285,73217
"Coeligena iris",3620,81246
"Coeligena lutetiae",3005,63776
"Coeligena orina",144,2026
"Coeligena osculans",1596,36507
"Coeligena phalerata",348,5378
"Coeligena prunellei",551,9398
"Coeligena torquata",13586,304873
"Coeligena violifer",1972,43779
"Coeligena wilsoni",1722,34393
"Colibri coruscans",39903,926025
"Colibri delphinae",52430,1209003
"Colibri serrirostris",98705,2383367
"Colibri thalassinus",35452,796983
"Collocalia esculenta",124466,2777590
"Collocalia linchi",14122,318195
"Collocalia troglodytes",13467,284788
"Cynanthus auriceps",8998,207652
"Cynanthus doubledayi",1937,41026
"Cynanthus forficatus",42,499
"Cynanthus latirostris",41506,994558
"Cynanthus lawrencei",37,417
"Cypseloides cherriei",12508,279134
"Cypseloides cryptus",18082,415725
"Cypseloides fumigatus",96475,2337275
"Cypseloides lemosi",193,3602
"Cypseloides niger",93336,2160647
"Cypseloides rothschildi",8190,177812
"Cypseloides senex",83509,2026316
"Cypseloides storeri",3640,84923
"Cypsiurus balasiensis",290368,6904760
"Cypsiurus gracilis",16883,386798
"Cypsiurus parvus",659111,16061246
"Discosura conversii",6337,133769
"Discosura langsdorffi",82278,1992879
"Discosura letitiae",9,93
"Discosura longicaudus",89876,2164222
"Discosura popelairii",10065,230069
"Doricha eliza",321,4076
"Doricha enicura",3430,79042
"Doryfera johannae",19772,462624
"Doryfera ludovicae",17717,389643
"Eleothreptus anomalus",60506,1457389
"Eleothreptus candicans",58196,1409643
"Ensifera ensifera",17819,400830
"Eriocnemis aline",3364,68786
"Eriocnemis cupreoventris",1642,27432
"Eriocnemis derbyi",1633,31265
"Eriocnemis glaucopoides",2677,57384
"Eriocnemis godini",30,411
"Eriocnemis isabellae",6,45
"Eriocnemis luciani",1832,40083
"Eriocnemis mirabilis",10,34
"Eriocnemis mosquera",1752,36367
"Eriocnemis nigrivestis",68,974
"Eriocnemis sapphiropygia",2160,44912
"Eriocnemis vestita",4575,98540
"Eugenes fulgens",61959,1482230
"Eugenes spectabilis",426,6102
"Eulampis holosericeus",703,8379
"Eulampis jugularis",359,4997
"Eulidia yarrellii",2203,35955
"Eurostopodus archboldi",3780,75085
"Eurostopodus argus",290462,7043750
"Eurostopodus diabolicus",1094,18892
"Eurostopodus exul",180,3291
"Eurostopodus mystacalis",51815,1221636
"Eurostopodus nigripennis",1387,18641
"Eurostopodus papuensis",23190,506178
"Eutoxeres aquila",14406,308673
"Eutoxeres condamini",15923,372435
"Florisuga fusca",28978,678215
"Florisuga mellivora",337137,8158111
"Gactornis enarratus",9829,227601
"Glaucis aeneus",8125,178490
"Glaucis dohrnii",2627,60435
"Glaucis hirsutus",324438,7870243
"Haplophaedia assimilis",2867,59439
"Haplophaedia aureliae",10260,223493
"Haplophaedia lugens",384,6504
"Heliactin bilophus",160217,3899076
"Heliangelus amethysticollis",6733,147570
"Heliangelus clarisse",2280,49627
"Heliangelus exortis",3087,64496
"Heliangelus mavors",1799,38862
"Heliangelus micraster",871,17973
"Heliangelus regalis",380,5253
