"ref_binomial";"ref_id";"ref_kingdom";"ref_phylum";"ref_class";"ref_order";"ref_family";"ref_genus"
"Chloephaga hybrida";"22679978";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Chloephaga"
"Chloephaga poliocephala";"22679981";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Chloephaga"
"Chloephaga rubidiceps";"22679984";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Chloephaga"
"Neochen jubata";"22679987";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Neochen"
"Tadorna cana";"22680007";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Tadorna"
"Tadorna tadornoides";"22680011";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Tadorna"
"Tadorna variegata";"22680015";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Tadorna"
"Radjah radjah";"22680029";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Radjah"
"Plectropterus gambensis";"22680057";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Plectropterus"
"Pteronetta hartlaubii";"22680070";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Pteronetta"
